Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","1uF 25V 5% X7R 0603","Capacitor, Ceramic, SMD, 1uF, 25V, 5%, X7R, 0603","C1, C3, C4, C5, C6, C7, C8, C9","","Not managed","","8","","","","","","",""
"","4u7 50V 5% X7R 0603","Capacitor, Ceramic, SMD, 4u7, 50V, 5%, X7R, 0603","C2","","Not managed","","1","","","","","","",""
"","4u7 50V 5%","Capacitor, Ceramic, SMD, 4u7, 50V, 5%, X7R, 0603","C10","","Not managed","","1","","","","","","",""
"","470nF 50V 5%","Capacitor, Ceramic, SMD, 470nF, 50V, 5%, X7R, 0603","C11","","Not managed","","1","","","","","","",""
"","100nF 50V 5% X7R 0603","Capacitor, Ceramic, SMD, 100nF, 50V, 5%, X7R, 0603","C12, C13, C14, C15, C16, C17, C18, C19, C21, C22, C29","","Not managed","","11","","","","","","",""
"","4u7","Capacitor, Ceramic, SMD, 4u7, 50V, 5%, X7R, 0603","C20, C27","","Not managed","","2","","","","","","",""
"","22uF 35V","22µF ±20% 35V Ceramic Capacitor X5R 1206 (3216 Metric)","C23, C24","","Not managed","","2","","","","","","",""
"","47uF 16V 1210","Capacitor, Ceramic, SMD, 47uF, 16V, 5%, X7R, 1210","C25, C26","","Not managed","","2","","","","","","",""
"","1uF","Capacitor, Ceramic, SMD, 1uF, 25V, 5%, X7R, 0603","C28","","Not managed","","1","","","","","","",""
"","STPS0530Z","Diode, Schottky Barrier Rectifier, 30 V, 0.5 A, STPS0530Z","D1, D2, D3","","Not managed","","3","","","","","","",""
"","1N4448WQ-7-F","Diode, SMD, 75V, 5%, 250mA, SOD123","D4","","Not managed","","1","","","","","","",""
"","NUP2105L","NUP2105L","D5","","Not managed","","1","","","","","","",""
"","B260A-13-F","Diode, Schottky Barrier Rectifier, 60 V, 2 A, B260A-13-F","D6","","Not managed","","1","","","","","","",""
"","LED Red 0603","LED Red 0603","DS1, DS2","","Not managed","","2","","","","","","",""
"","LED Green 0603","LED Green 0603","DS3, DS4, DS9","","Not managed","","3","","","","","","",""
"","LED Blue 0603","","DS5, DS6","","Not managed","","2","","","","","","",""
"","LED Orange","","DS7, DS8","","Not managed","","2","","","","","","",""
"","JST PH 4 Way Through Hole Header","","J1","","Not managed","","1","JST","S4B-PH-K-S(LF)(SN)","Volume Production","Digi-Key","455-1721-ND","",""
"","52437-2471","0.5 mm Pitch Easy-On(TM) Type FPC Connector, Right Angle, ZIF, SMT, Bottom Contact, 24 Circuits, -40 to 85 degC, ELV and RoHS Compliant, Tape and Reel","J2","","Not managed","","1","","","","","","",""
"","JST PH 3 Way Through Hole Header","","J3, J4, J5","","Not managed","","3","","","","","","",""
"","JST PH 2 Way Through Hole Header","","J6, J7, J8, J9","","Not managed","","4","","","","","","",""
"","Jumper 2Way Solderable","Jumper 2Way Side Solderable","J10, J11","","Not managed","","2","","","","","","",""
"","IDC 10P 2x5 1.27mm","IDC 10P 2x5 1.27mm","J12","","Not managed","","1","","","","","","",""
"","JST PH 4x RIGHT COMB","","J13","","Not managed","","1","","","","","","",""
"","LQM21FN100M70L","FIXED IND 10UH","L1","","Not managed","","1","","","","","","",""
"","74404064221","FIXED IND 220UH 660MA 850 MOHM","L2","","Not managed","","1","","","","","","",""
"","Hole M3 Tight Unplated","M3.2 Hole, No Plating","M1, M2, M3, M4","","Not managed","","4","","","","","","",""
"","Header 3","Header, 3-Pin","P1","","Not managed","","1","","","","","","",""
"","MOSFET N-CH 30V 4A SOT323","N-Channel 30V 4A (Ta) 770mW (Ta) Surface Mount SOT-323","Q1","","Not managed","","1","","","","","","",""
"","10k 1% 0603","Resistor, SMD, 10k, 0.1W, 1%, 0603","R1","","Not managed","","1","","","","","","",""
"","0R47 5% 0603","Resistor, SMD, 0R, 0.1W, 5%, 0603","R2","","Not managed","","1","","","","","","",""
"","10k 5% 0603","Resistor, SMD, 10k, 0.1W, 5%, 0603","R3, R4, R5, R6, R27, R31, R32, R33, R34, R35","","Not managed","","10","","","","","","",""
"","4k7 5% 0603","Resistor, SMD, 4k7, 0.1W, 5%, 0603","R7, R8, R9, R12","","Not managed","","4","","","","","","",""
"","2M2 1%","Resistor, SMD, 2M2, 0.125W, 1%, 0603","R10, R11","","Not managed","","2","","","","","","",""
"","150k 5% 0603","Resistor, SMD, 150k, 0.1W, 5%, 0603","R13","","Not managed","","1","","","","","","",""
"","390k 5%","Resistor, SMD, 390k, 0.1W, 5%, 0603","R14","","Not managed","","1","","","","","","",""
"","240k 5%","Resistor, SMD, 240k, 0.1W, 5%, 0603","R15","","Not managed","","1","","","","","","",""
"","1k 5% 0603","Resistor, SMD, 1k, 0.1W, 5%, 0603","R16","","Not managed","","1","","","","","","",""
"","330R","Resistor, SMD, 330R, 0.1W, 5%, 0603","R17, R18, R20, R21","","Not managed","","4","","","","","","",""
"","120R 1% 1210","Resistor, SMD, 120R, 0.25W, 1%, 1210","R19","","Not managed","","1","","","","","","",""
"","10k 1% 0603","Resistor, SMD, 20k, 0.1W, 5%, 0603","R22","","Not managed","","1","","","","","","",""
"","4k7","Resistor, SMD, 4k7, 0.1W, 5%, 0603","R23","","Not managed","","1","","","","","","",""
"","64k9 1%","Resistor, SMD, 64k9, 0.1W, 5%, 0603","R24","","Not managed","","1","","","","","","",""
"","1k","Resistor, SMD, 1k, 0.1W, 5%, 0603","R25","","Not managed","","1","","","","","","",""
"","19k6 1%","Resistor, SMD, 19k6, 0.1W, 5%, 0603","R26","","Not managed","","1","","","","","","",""
"","15k 5% 0603","Resistor, SMD, 15k, 0.1W, 5%, 0603","R28","","Not managed","","1","","","","","","",""
"","22R","Resistor, SMD, 22R, 0.1W, 1%, 0603","R29, R30","","Not managed","","2","","","","","","",""
"","47219-2001","MicroSD Card Connector, Hinge Type, -40 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel","SD1","CMP-2000-05245-1","Released","Up to date","1","Molex","47219-2001","Volume Production","Digi-Key","WM6698DKR-ND","1.91","1.91"
"","B3U-1000P","Omron B3U-1000P Ultra Miniture Switch","SW1","","Not managed","","1","","","","","","",""
"","TestPoint","","TP1, TP2","","Not managed","","2","","","","","","",""
"","TestPoint_SMD","","TP3, TP4, TP5, TP6","","Not managed","","4","","","","","","",""
"","MAX17612A","4.5V to 60V, 250mA Current-Limiter with OV, UV, and Reverse Protection","U1","","Not managed","","1","","","","","","",""
"","SN65HVD232D","3.3 V CAN Transceiver, 17 mA, -40 to 85 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)","U2","CMP-0315-00073-2","Released","Up to date","1","Texas Instruments","SN65HVD232D","Volume Production","RSComponents","1977505","3.33","250.05"
